No.,Ward,Positive Cases,Deaths Cases,Recovered Cases
1,Aundh - Baner,4,0,4
2,Kothrud - Bavdhan,10,0,4
3,Sinhagad Road,23,0,10
4,Warje - Karvenagar,17,3,8
5,Shivajinagar - Ghole Road,335,6,184
6,Kasaba - Vishrambaugwada,282,12,116
7,Dhankawadi - Sahakarnagar,231,11,103
8,Bhawani Peth,600,45,288
9,Bibwewadi,153,8,39
10,Dhole Patil Road,488,16,249
11,Yerwada - Kalas - Dhanori,371,19,154
12,Nagar Road - Wadgaon Sheri,89,3,47
13,Wanawadi - Ramtekdi,142,13,56
14,Kondhwa - Yewalerwadi,47,4,22
15,Hadapsar - Mundhawa,78,9,33
16,Outside Pune,129,12,56
